0,0,13
0,0,14
0,0,14
0,0,13
0,1733000,15
30,1733000,16
31,1466000,15
45,1466000,16
45,0,14
45,0,13
46,1733000,15
75,1733000,16
76,1466000,15
90,1466000,16
90,0,14
90,0,13
91,1733000,15
120,1733000,16
121,1466000,15
135,1466000,16
135,0,14
135,0,13
136,1733000,15
165,1733000,16
166,1466000,15
180,1466000,16
180,0,14
180,0,13
181,1733000,15
210,1733000,16
211,1466000,15
225,1466000,16
225,0,14
225,0,13
226,1733000,15
255,1733000,16
256,1466000,15
270,1466000,16
270,0,14
270,0,13
271,1733000,15
300,1733000,16
301,1466000,15
315,1466000,16
315,0,14
315,0,13
316,1733000,15
345,1733000,16
346,1466000,15
360,1466000,16
360,0,14
360,0,13
361,1733000,15
390,1733000,16
391,1466000,15
405,1466000,16
405,0,14
405,0,13
406,1733000,15
435,1733000,16
436,1466000,15
450,1466000,16
450,0,14
450,0,13
451,1733000,15
480,1733000,16
481,1466000,15
495,1466000,16
495,0,14
495,0,13
496,1733000,15
525,1733000,16
526,1466000,15
540,1466000,16
540,0,14
540,0,13
541,1733000,15
570,1733000,16
571,1466000,15
585,1466000,16
586,0,14
586,0,13
586,1733000,15
616,1733000,16
616,1466000,15
631,1466000,16
631,0,14
631,0,13
631,1733000,15
661,1733000,16
661,1466000,15
676,1466000,16
676,0,14
676,0,13
676,1733000,15
706,1733000,16
706,1466000,15
721,1466000,16
721,0,14
721,0,13
721,1733000,15
751,1733000,16
751,1466000,15
766,1466000,16
766,0,14
766,0,13
766,1733000,15
796,1733000,16
796,1466000,15
811,1466000,16
811,0,14
811,0,13
811,1733000,15
841,1733000,16
841,1466000,15
856,1466000,16
856,0,14
856,0,13
857,1733000,15
886,1733000,16
886,1466000,15
901,1466000,16
901,0,14
901,0,13
902,1733000,15
931,1733000,16
932,1466000,15
946,1466000,16
946,0,14
946,0,13
947,1733000,15
976,1733000,16
977,1466000,15
991,1466000,16
991,0,14
991,0,13
992,1733000,15
1021,1733000,16
1022,1466000,15
1036,1466000,16
1036,0,14
1036,0,13
1037,1733000,15
1066,1733000,16
1067,1466000,15
1081,1466000,16
1081,0,14
1081,0,13
1082,1733000,15
1111,1733000,16
1112,1466000,15
1126,1466000,16
1126,0,14
1126,0,13
1127,1733000,15
1193,0,14
1193,0,13
1194,1733000,15
1223,1733000,16
1224,1466000,15
1238,1466000,16
1238,0,14
1238,0,13
1239,1733000,15
1268,1733000,16
1269,1466000,15
1283,1466000,16
1283,0,14
1283,0,13
1284,1733000,15
1313,1733000,16
1314,1466000,15
1328,1466000,16
1328,0,14
1328,0,13
1329,1733000,15
1359,1733000,16
1359,1466000,15
1374,1466000,16
1374,0,14
1374,0,13
1374,1733000,15
1404,1733000,16
1404,1466000,15
1419,1466000,16
1419,0,14
1419,0,13
1419,1733000,15
1449,1733000,16
1449,1466000,15
1464,1466000,16
1464,0,14
1464,0,13
1464,1733000,15
1494,1733000,16
1494,1466000,15
1509,1466000,16
1509,0,14
1509,0,13
1509,1733000,15
1539,1733000,16
1539,1466000,15
1554,1466000,16
1554,0,14
1554,0,13
1555,1733000,15
1584,1733000,16
1584,1466000,15
1599,1466000,16
1599,0,14
1599,0,13
1600,1733000,15
1629,1733000,16
1630,1466000,15
1644,1466000,16
1644,0,14
1644,0,13
1645,1733000,15
1674,1733000,16
1675,1466000,15
1689,1466000,16
1689,0,14
1689,0,13
1690,1733000,15
1719,1733000,16
1720,1466000,15
1734,1466000,16
1734,0,14
1734,0,13
1735,1733000,15
1764,1733000,16
1765,1466000,15
1779,1466000,16
1779,0,14
1779,0,13
1780,1733000,15
1809,1733000,16
1810,1466000,15
1824,1466000,16
1824,0,14
1824,0,13
1825,1733000,15
1854,1733000,16
1855,1466000,15
1869,1466000,16
1869,0,14
1869,0,13
1870,1733000,15
1899,1733000,16
1900,1466000,15
1914,1466000,16
1914,0,14
1914,0,13
1915,1733000,15
1944,1733000,16
1945,1466000,15
1959,1466000,16
1959,0,14
1959,0,13
1960,1733000,15
1989,1733000,16
1990,1466000,15
2004,1466000,16
2004,0,14
2004,0,13
2005,1733000,15
2034,1733000,16
2035,1466000,15
2049,1466000,16
2049,0,14
2049,0,13
2050,1733000,15
2079,1733000,16
2080,1466000,15
2094,1466000,16
2094,0,14
2094,0,13
2095,1733000,15
2124,1733000,16
